place,author,rating,text
Islamic Cultural Center Of New York,Rasheed Ali,4,"Asr today was on a lower floor than the dome. I hadn't made it upstairs yet. Obviously this Masjid is different being in new York. Parking was hard to find, however there was allot of double parking.For Asr there was a long line forming behind a guy who came late. When that group finished another group started. When that group finished another group started. It reminds me of the angels coming to worship the Kaaba of heaven."
Islamic Cultural Center Of New York,Masud Alam,5,Mash’Allah beautiful place. Huge space and very welcoming place. May Allah protect all of our mosques around the world.
Islamic Cultural Center Of New York,Hirat Rahman,5,Very nice place. You’ll see people from all around the world coming and praying together which is amazing.
Bethesda Fountain,Melissa Varner,5,"This area (in Central Park) was prob the highlight of my quick trip! Gorgeous fountain, live music, lots of turtles in the pond, can rent rowboats. Great vibes. Don’t forget to also go see the castle in the park. You can also do horse carriage rides or rent bikes on the park."
Bethesda Fountain,Lourdi,5,"Such a cool spot to snap some pics and just chill. Great view of the lake... peaceful, scenic, and perfect for people-watching or soaking in the view. Definitely a nice little escape in the city."
Bethesda Fountain,Nicholas Cenimo III,5,"Brought my husband (who is from San Diego) to see this iconic landmark. I really enjoy showing him places he's seen on television or in movies. Even at the tail end of winter, she doesn't disappoint. The walk through the park is still lovely and the plaza is truly iconic. We grabbed a small box lunch to share and ate there. It was lovely."
Bethesda Fountain,Dilldon Higham,5,"This is probably my favorite place in New York, and Central park. The best part is the free entertainment from all the buskers, though I do tip because they're professionals a lot of times and it's amazing to get to see them performing in a small alcove by the fountain. Rainy days can be fun for this reason as well."
Bethesda Fountain,Prosun Roy,5,"Probably the most visited and photographed place in the Central Park. Beautiful setting of the grand Fountain, sitting between the grand steps and the huge lake in the backdrop, makes it's almost surreal. You can sit here for hours, chat with your sweetheart or just admire the work of nature. It's OK to be romantic once in a while."
Bethesda Fountain,Kristi Thurmon,5,"Just as iconic as you think it is! Definitely not over-hyped. It is beautiful, even when the fountain isn't on. I loved the string duo playing Marriage of Figaro under the bridge when we were there. It was freezing and raining, but I didn't let that steal my joy!"
Bethesda Fountain,Marco Zivanovic,5,"Central Park's Bethesda Fountain is an iconic masterpiece. Its centerpiece, the Angel of the Waters sculpture by Emma Stebbins, is not only visually stunning but also deeply symbolic, representing purity and healing. The fountain is the focal point of the grand Bethesda Terrace, with its intricate carvings and the stunning Minton tile ceiling in the arcade below. It's a truly picturesque and historically rich spot, perfect for people-watching, enjoying street performers, or simply soaking in the beauty of Central Park."
Bethesda Fountain,Sean & Kendra James,5,Our carriage driver stopped here for a few minutes so we could explore and take a few pictures. Definitely worth it!
Bethesda Fountain,Michelle Yates,4,Central Park is gorgeous. So happy to have prior knowledge of Olmstead to share with the girls. Very well maintained for such a large city park.
Bethesda Fountain,James Boyd,5,"Bethesda Fountain, a breathtaking fountain in Central Park in the heart of New York, is truly awe-inspiring. I admire it, and although I visited during winter, the fountain's serenity still shone through despite the water being turned off. The overall ambiance was nothing short of magnificent and one-of-a-kind."
Bethesda Fountain,David Schroedor,5,"Pretty area of the park, and a nice place to relax for a bit while taking in the fountain and surround landscape. I know it’s been in at least a few movies, so also a cool spot for that reason"
Bethesda Fountain,Cierra Fabrigas,5,"We’ve been here in the winter and summer. Although it’s warmer, the fountain is beautiful during the summer. Flowing with plants and the running water. A must see on the way to Bethesda terrace"
Bethesda Fountain,Zunaira Ahmed,5,"It's a beautiful fountain beside a huge pond. Both the fountain and the pond have ducks in them. It's so lively and wonderful, especially during the summer (which is when these pictures were taken). Find yourself an empty seat and immerse yourself in the beautiful sights (and perhaps forget your troubles, temporarily at least)"
Bethesda Fountain,Digital Nomad,5,Must see historic fountain located in Central Park.
Bethesda Fountain,Troy Pitcher,5,"Favourite place in Central Park! Many facets to this area and had flashback from movies filmed here.Mild amount of people selling items, picture perfect from any angle. Stroll around to see it all from different perspectives."
Bethesda Fountain,Paridhi,5,"Pretty part of the central park, surrounded by pond, greenery and ancient building. We saw people getting pre-wedding shoots, there are also some food stalls, and it’s a must visit for the tourists. Crowded on the weekends but you could also find spots for a some private space and a lot of people bring their dogs to train."
Bethesda Fountain,Erik Re,5,Great spot with benches on the lake to rest and think and pray. This was an unusually warm 80 degree day in Fall. Beautiful next to Bethesda Fountain.
Bethesda Fountain,Mike Jennings,5,Lovely spot within the park. You go can first thing when it is quiet or later in the day when it is alive with families and musical performers. Both have their merits.
Bethesda Fountain,Winston Bromley,5,"An amazing area to see in Central Park. Don’t miss this one! Make sure walk all the way into the park middle. When you see the fountain and terrace, you will feel Deja Vu as it’s in so many tv shows and movies. But to be there, it’s strangely satisfying. Sit on the fountain rim for the full effect or walk over to the water where there are sometimes gondolas."
Bethesda Fountain,Saba Anwer,4,"Attended a wedding ceremony !Place has great ambiance , the terrace has beautiful arches and walls . But it’s very crowded ! The fountain is iconic tourist spot. I would advise to visit on a week day. It’s a 6-7 mins walk from the nearest gate/ entrance of the Central Park"
Bethesda Fountain,Poltergeist MusicMX,5,"One the most beautiful places in Central Park, definitely you need to go."
Bethesda Fountain,Stephen Ohara,5,"Always wanted to visit here since John Wick, amazing atmosphere!"
Bethesda Fountain,Vaihab Gupta,5,"Bethesda Fountain in Central Park is a serene oasis in the heart of New York City. The fountain's neoclassical grandeur and the surrounding angelic sculptures create a tranquil escape from the urban hustle. The reflective pool and lush greenery provide a picturesque setting, making it a perfect spot for relaxation and contemplation. Bethesda Fountain is a hidden gem that invites visitors to unwind amidst the natural beauty of Central Park."
Bethesda Fountain,Muskan Garg,5,It was the most romantic destination of my trip. All visitors were so happy and content. I could see so much of positive energy in that area.
Bethesda Fountain,Kendriya Veli,5,"The heart of Central Park! One of my favorite place to chill in the afternoon of weekends. Sitting by the fountain, Listening to local artists, Witnessing love and laughter spreading around… you’d certainly feel like you are in a movie"
Brotherhood Synagogue,SJB,5,Very well maintained facility and very friendly congregation. Services flow nicely. Fully egal Nice kiddush.
Brotherhood Synagogue,Robert Wolf,5,"My family and I have been members of Brotherhood Synagogue for 36 years-plus. Of the many synagogues I have experienced over the years, Brotherhood has by far been the warmest and most welcoming one. It has a wonderfully diverse congregation, a Rabbi who so ably adapts lessons from the Torah to everyday modern situations, a Cantor with a superb voice, all in a unique setting - a former Quaker meeting house built in 1859 that enjoys landmark status in the Gramercy Park neighborhood. My family and I have never lived in that neighborhood -- we live on the Upper East Side -- but we love coming down there for services, for programs, for celebratory events, you name it!"
Brotherhood Synagogue,Carol Ginsberg,5,"Brotherhood is like a home away from home. The Rabbi and Cantor are warm and friendly, the Exec Director is thoughtful and outgoing. Worshipping (or socializing) in a historic and beautiful building just enhances your experience. Stop by for a tour (reservations suggested due to heightened security) or come for services."
Brotherhood Synagogue,Tracie Basch,5,"What a wonderful and warm synagogue. We have been members for over 16 years and have celebrated many events - Bris, Bar Mitzvahs - and, unfortunately, death and have found the Rabbi and Staff to be wonderful and compassionate. This is an amazing community with so much to offer people of every age."
Brotherhood Synagogue,June Feigelman,5,Love this Synagogue! My brother and his wife belong here and everyone is super friendly!
Brotherhood Synagogue,Karen Sumberg,5,A wonderful and welcoming community! Our home away from home. Our kids have thrived at the nursery and Hebrew schools (annual Hebrew school play is not to be missed)!
Brotherhood Synagogue,Gary Alony NYC,5,Rabbi Dan is one of the most spiritual people you will ever meet. The synagogue is more of a community center. It used to be a Quaker meeting house. You feel the warmth when you enter. They have lectures and a fabulous hebrew school. The prayers are traditional hebrew. Men and women sit together. My wife and raised three children there.
Brotherhood Synagogue,Thompson Alchemists,4,Beautiful family oriented synagogue on the south end of the park. Amazing rabbi and wonderful congratulation. We've been members for 20 years
Brotherhood Synagogue,Deborah Blumenthal,5,"Warm, welcoming, calming environment. The Rabbi's sermons are engaging and gently thought-provoking."
Brotherhood Synagogue,David Shapiro,5,"Brotherhood is not just a synagogue to us. It's a school for our little guys. It's a strong community, it's a support network and really has become an extension of our family."
Brotherhood Synagogue,Lynn Cohen,5,"As a single woman, I’ve found the congregation to be very a very warm and welcoming community."
Brotherhood Synagogue,Gloria W,5,"A hidden gem that sits right on Gramercy Park with a warm, welcoming congregation, and incredible clergy and staff."
Brotherhood Synagogue,Brad Miles,5,Home away from home. Amazing congregation on Gramercy Park welcoming to all.
Brotherhood Synagogue,Nicki Kalisky,5,A moving sabbath and a joyful Seder. First time ever in a synagogue or celebrating passover.
Brotherhood Synagogue,Leila Abdullaleava,5,I love it
Brotherhood Synagogue,Lisa Lerderer,5,A spiritual place of light that shines through the beautiful historical windows and reflects of the walls.
Brotherhood Synagogue,Zachary Gruenberg,1,Would not let me daven after calling and explaining there are no other places open... stay away if you are new... I’d give them negative stars if I could
Brotherhood Synagogue,JJ Peon,5,Historic building that started as a Quaker meeting house. Well preserved and welcoming.
Brotherhood Synagogue,Susan Shapiro,5,A wonderful place full of community and tradition. I am very happy to be a member here and to raise my family in the community.
Brotherhood Synagogue,David Mesibov,5,It is very inclusive.& does not discriminate. I especially enjoy the Sabbath services.
Brotherhood Synagogue,David Ben Levi,5,Beautiful an historical building. Grew up knowing this place. True history told here.
Brotherhood Synagogue,Vadim Nobel,5,Wonderful Rabbi and staff. Well run.
Brotherhood Synagogue,Debora Levi,5,Beautiful place with a nice cultural program
Brotherhood Synagogue,Matthew Imberman,5,the best!
Brotherhood Synagogue,Rita S,4,in a former Friends meeting place.
Prison Ship Martyrs Monument,Wendy Stanley,5,"Excellent. Beautiful monument supported by helpful historic documents in the nearby Visitors Center. For those looking to understand or study the men who lost their lives on the prison ships in the American Revolution, this is a must-see. Was impressed by the size and beauty of the monument."
Prison Ship Martyrs Monument,RJS,4,A gateway in the nature in the middle of the town when In Brooklyn. Not be compared with other parcs and definitely Central Park if in Manhattan. But I enjoyed a take-away coffee in the cold. Very quiet.
Prison Ship Martyrs Monument,Carston G,5,"A spectacular historic site in this treed verdant urban park in the densely populated heart of downtown Brooklyn. But imagine that former Parks Commissioner Mitchel Silver, and his local political allies through his race driven Parks Without Borders legacy project and fantasy, put into motion plans to eviscerate and clear cut some 80 large mature beneficial shade trees that populate the northwest corner of the park, for an open tree less vista extending all the way to the Martyrs Monument. What a contrasting behavior in the attitude toward the urban forest from Parks Commissioners that preceded Silver, like Henry Stern."
Prison Ship Martyrs Monument,Ben Gallagher,5,"pretty good monument, couldn't possibly give it more than 3.5 stars so I think that 4 is very generous. Have seen both better and worse monuments in my time. My experience would be greatly improved if I was able to get to the top of it."
Prison Ship Martyrs Monument,Alexander Astrinsky,5,"This is a beautiful monument in the middle of fort green park, it has an amazing viendo but otherwise nothing else to do."
Prison Ship Martyrs Monument,Peter Merchant,5,"I grew up in the Fort Greene Projects and was always fascinated by the Prison Martyrs Memorial, even from an early age However, it wasn’t until I went to college that I learned about it. What an unsung tale it is."
Prison Ship Martyrs Monument,MrBlkynBoy,4,I went to fort Greene park for soul summit
Prison Ship Martyrs Monument,Eddie Coyle,5,"Brooklyn has an immense amount of history you walk by every day. This monument is located in an area, quite frankly, that has only become safely accessible again as Brooklyn's fortunes have improved. As to the reviewer who said waste of Time while using the American Flag and Eagle (what are you, a patriot?) as an avatar... TOOL!"
Prison Ship Martyrs Monument,Luke,5,"The Prison Ship Martyrs Monument is a great centerpiece for Fort Greene Park. It provides a great inspiration for runners who take on the park's steps. Make sure you learn about the fascinating history of the monument by attending a Wallabout Historical Tour put on by the Myrtle Avenue Brooklyn Partnership. In addition, you'll learn more about the surrounding Wallabout neighborhood. The only downside to the monument is that you can't go in it. The stairs that went to the top deteriorated not long after it was built. It would be so cool to go to the top to enjoy the views. Nonetheless, the monument is a beautiful symbol of the city's history."
Prison Ship Martyrs Monument,Kensington Whittenberg,5,Gentrification has ruined this once diverse and ethnic park. It has now been overrun with hipster yuppies dudes with fake beards and skinny jeans and their wanna be uber chic hipster female wannabees. Brooklyn used to be cool in the late 80s and early 90s but the influx of these spoiled rich white kids has made it rather vanilla and boring. Wish the old skool Brooklyn would come back or at least I wish a lot of the old skool folks would come back and take back the neighborhood. This place has gone to the dogs!
Prison Ship Martyrs Monument,Duy Tran,5,I love this section of the park. Great place of your working out and want to run some stairs. The view is pretty nice at the top.I want to be able to go to the top
Prison Ship Martyrs Monument,Colin Whitlow,5,I come here on the 4th of July every year. The view of the fireworks isn't fantastic but it gets the job done and isn't nearly as crowded as lots of other spots.
Prison Ship Martyrs Monument,Ted Johnson,4,Monument has new signage telling of site's history. Fort Greene Park continues to improve and is now a great destination
Prison Ship Martyrs Monument,Ian Moulton,4,"A moving—if strange—monument. I would prefer a more real lighthouse than a macabre stone replica, but that’s just me. Splendid view."
Prison Ship Martyrs Monument,Anson Chen,5,"i go to brooklyn tech, the school right next to the park. really chill place to hang out after a long day"
Prison Ship Martyrs Monument,Ira Christopher,5,One of the most placid areas in Brooklyn!
Prison Ship Martyrs Monument,Noel Maguigad,4,Beautiful little park in Brooklyn. The set of stairs is perfect for working out.
Prison Ship Martyrs Monument,Fernando Reyes,5,I grew up across the street from this Brooklyn landmark I miss this iconic places I gotta visit.
Prison Ship Martyrs Monument,Ryan Micaleff,5,Great view. Good for short runs and off leash dogs before 9am.
Prison Ship Martyrs Monument,Isaac Alfieri,4,Very cool monument
Prison Ship Martyrs Monument,Christopher Russell,5,"Mass grave of thousands of American martyred patriots monsterously murdered by the imperialist monarchists of tyrant George of England on nearby prison ships, including the vile HMS Jersey, during the reign of oppression and terror in New York during the Revolution. NEVER FORGET!"
Prison Ship Martyrs Monument,Cammie G,5,Great tourist attraction with a great park to have a picnic or to just chill on a nice day!
Prison Ship Martyrs Monument,Kevin CinnamonToast,4,"Quite a few undesirables about. Had some cheeky fun,slipped a gleeck here as a hoot. Peppery in tone."
Prison Ship Martyrs Monument,MD R,5,"Helpful staff, big open areas, lots of seating. Very serene place."
Prison Ship Martyrs Monument,Carbon12,5,"Lovely spot for meditating, exercise or just snacking and enjoying your surroundings"
Mahayana Temple,Shloka Gupta,5,"It’s free. You can pick up a fortune chit and donate a dollar, light up incense sticks without cost. It was really peaceful, on the walls the story of buddha is there, in english as well. Just be respectful, very beautiful"
Mahayana Temple,Theresa St John,5,"Very peaceful place to walk around, even if you are not buddist. Beautiful buildings and property with body of water in the center. There were prayers going on so we were respectful and did not go into those structures until prayer time was over."
Mahayana Temple,Harish G Nair,5,A peaceful place inside the busy NYC at a corner of China Town. Inside it is silent and beautiful. The story of Buddhas life is written in short on the walls. Light prayer song was playing when we went in. Take a Dollar with you to get a fortune sheet. Definitely recommend a visit.
Mahayana Temple,Maggie Dynack,5,"Beautiful little temple in Chinatown , NYC. Highly recommend going if you like spiritual places like me. One of the coolest landmarks of Chinese culture."
Mahayana Temple,Der Muncher,5,very peaceful place in a crowed new york!! a great place in china town!
Mahayana Temple,Galyna Shulimova,5,My favorite spot in Chinatown and very lovely Duddhist temple. Beautiful & peaceful.
Mahayana Temple,Lila Ewen,5,"It was really pretty and peaceful, definitely something to see when you have 5 minutes to spare.Remember to donate a dollar and get your fortune for the day!"
Mahayana Temple,Manisha Patro,5,"It was so peaceful, definitely my fav place to visit."
Mahayana Temple,Connor Pollock,3,"It was nice and peaceful, interesting story about Buddhism on walls. Said required mask, but then had people inside who were not wearing them"
Mahayana Temple,Akshaya Bhagavathula,5,"The Mahayana Buddhist Temple provides a tranquil refuge from the hustle, bustle and chaotic sidewalk marketplace (fish heads, knock-off designer handbags) that is NYC's Chinatown. Located next door to one of Chinatown's other major pilgrimage sites, The Fung Wah Bus ticket office, the temple is housed in a boxy building that formerly hosted The Rosemary, a porno theater that ended its racy run in the mid '90s."
Mahayana Temple,Muninder Gulati,5,Buddhist Temple!!! Spirituality ‘n Buddha Purnima!!! Felt very peaceful and blessings of Divine!!
Mahayana Temple,Shiva Bhandari,5,Beautiful place to visit and large statues of Buddha. the best part is you get take photos.
Mahayana Temple,A Taylor,5,"Great space! It's a space for all, offering education, cultural, charity and religious/spiritual enrichment to the community..."
Mahayana Temple,David D,5,"Buddhist temple in the middle of Manhattan! Anyone no matter their religious belief should see it. I'm not Buddhist, but I enjoyed the visit here."
Mahayana Temple,mealy boo,5,Need to escape from the hustle and bustle of Canal Street step inside Mahayana Buddhist Temple. I like to just step inside sit and take some deep breath.
Mahayana Temple,Mohammed Islam,5,Historic Holy place for Buddhist Around the world besides Historic Manhattan Bridge . A Must see place at Downtown Manhattan.
Mahayana Temple,Greg Little,5,It was so peaceful and quiet coming from the noise of the busy city very friendly worth the experience
Mahayana Temple,Joe Crow,3,"It was a nice large place but it would be nice to have bathrooms. Some of the Hindu temples feel more welcoming. Unlike many of the Catholic Churches, They will not allow photography which makes many of the Catholic churches feel more like home."
